start_time,end_time,dx_range,dy_range,dz_range
303.594,313.759,"(-0.042400000000000014, 0.0532)","(-0.05989999999999999, 0.029)","(-0.07909999999999999, 0.02499999999999999)"
286.56,303.0490000000001,"(-0.041900000000000014, 0.0544)","(-0.06119999999999999, 0.03)","(-0.0774, 0.02310000000000001)"
303.594,315.423,"(-0.042400000000000014, 0.0532)","(-0.05989999999999999, 0.029)","(-0.07909999999999999, 0.02499999999999999)"
315.968,316.512,"(-0.036999999999999984, 0.04929999999999998)","(-0.059100000000000014, 0.030200000000000005)","(-0.0728, 0.019800000000000012)"
292.339,303.0490000000001,"(-0.041900000000000014, 0.049600000000000005)","(-0.06119999999999999, 0.027900000000000008)","(-0.0756, 0.02299999999999999)"
315.968,322.139,"(-0.038099999999999995, 0.0514)","(-0.059100000000000014, 0.030200000000000005)","(-0.0734, 0.02060000000000001)"
298.42,303.0490000000001,"(-0.0358, 0.0436)","(-0.05889999999999999, 0.0257)","(-0.07400000000000001, 0.0181)"
315.968,328.3719999999999,"(-0.038999999999999986, 0.055399999999999984)","(-0.059300000000000026, 0.030200000000000005)","(-0.07940000000000001, 0.022400000000000003)"
301.295,303.0490000000001,"(-0.0358, 0.04350000000000001)","(-0.0576, 0.0257)","(-0.07400000000000001, 0.016400000000000026)"
315.968,331.004,"(-0.038999999999999986, 0.055399999999999984)","(-0.059300000000000026, 0.033)","(-0.07940000000000001, 0.0227)"
307.557,315.423,"(-0.037599999999999995, 0.0532)","(-0.058799999999999984, 0.027999999999999997)","(-0.07550000000000001, 0.02499999999999999)"
315.968,337.4480000000001,"(-0.038999999999999986, 0.055399999999999984)","(-0.059300000000000026, 0.033)","(-0.07940000000000001, 0.0227)"
313.6690000000001,315.423,"(-0.03209999999999999, 0.048199999999999986)","(-0.058799999999999984, 0.027400000000000008)","(-0.0697, 0.016199999999999992)"
315.968,343.59,"(-0.0413, 0.055399999999999984)","(-0.0606, 0.033)","(-0.07940000000000001, 0.0227)"
316.512,346.101,"(-0.0413, 0.055399999999999984)","(-0.0606, 0.033)","(-0.07940000000000001, 0.02690000000000001)"
320.748,350.60900000000015,"(-0.0413, 0.055399999999999984)","(-0.0606, 0.033)","(-0.07940000000000001, 0.02690000000000001)"
323.9240000000001,351.72900000000016,"(-0.0413, 0.055399999999999984)","(-0.0606, 0.033)","(-0.07940000000000001, 0.02690000000000001)"
352.273,353.907,"(-0.030699999999999988, 0.049400000000000034)","(-0.054199999999999984, 0.027999999999999997)","(-0.0679, 0.019799999999999984)"
330.036,351.72900000000016,"(-0.0413, 0.05479999999999999)","(-0.0606, 0.032)","(-0.0777, 0.02690000000000001)"
352.273,359.958,"(-0.03630000000000001, 0.05699999999999999)","(-0.057499999999999975, 0.028400000000000012)","(-0.0798, 0.023300000000000015)"
